Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
"Law 1 April 2022, No. 30 Provisions promoting local small agri-food productions.",2022,Italy,"The Law is organized in 14 articles and contains provisions aimed at enhancing and promoting the production, transformation and sale of limited quantities of primary and processed food products, of animal origin or vegetable, by small local producers. These products are defined by the Law as PPL products (PPL - piccole produzioni locali) and must meet specific labeling requirements established under Art. 3.  PPL producers include farmers, beekeepers, aquaculture farmers, technical agricultural institutes as defined by specific provisions indicated under section 1 of the Art. 2.",https://www.ecolex.org/details/legislation/law-1-april-2022-no-30-provisions-promoting-local-small-agri-food-productions-lex-faoc209621/?type=legislation&xsubjects=Mineral+resources&page=136,"Agricultural & rural development, Food & nutrition, Fisheries",Legislation,"Agricultural development, Apiculture/sericulture, Aquaculture, Capacity building, Certification, Consumer protection, Equipment, Agricultural extension, Farming, Processing/handling, Smallholders/peasants, Traditional knowledge/indigenous knowledge, Business/industry/corporations, Artisanal fishing, Fish products, Subsidy/incentive, Access-to-information, Traditional rights/customary rights, Food quality control/food safety, Fraud, Hygiene/sanitary procedures, Packaging/labelling, Vegetables/legumes, Milk/dairy products, Cereals/grains/rice, Slaughtering, Standards, Traceability/product tracing, Vending, Agricultural commodities","Alps, Europe, Europe and Central Asia, European Union Countries, Mediterranean, Southern Europe",,ECOLEX_Legislation
Law on Plant protection and phytosanitary measures.,2022,Cambodia,"This law sets out phytosanitary and other protective measures and controls for plants and plant health, including fail-safes against the transmission and spread of pests; safeguards for plant resources; and frameworks to encourage the sanitary and safe production of greater volumes of agricultural products at higher levels of quality.",https://www.ecolex.org/details/legislation/law-on-plant-protection-and-phytosanitary-measures-lex-faoc213990/?type=legislation&xsubjects=Mineral+resources&page=136,"Agricultural & rural development, Cultivated plants",Legislation,"Agricultural development, Basic legislation, Pests/diseases, Hygiene/sanitary procedures, Inspection, Plant production, Plant protection, Post-harvest treatment","Asia, Asia and the Pacific, East Asian Seas, Least Developed Countries, South-Eastern Asia",,ECOLEX_Legislation
Order No. 244 of the Ministry of Natural Resources and Ecology validating the Rules for extinguishing forest fires.,2022,Russian Federation,"These Rules are established for the purpose of: (a) organization of management of work to extinguish forest fires; (b) prevention and elimination of emergency situations in forests, resulting from forest fires; (c) organization of interdepartmental interaction in the performance of work to extinguish forest fires. Works to extinguish forest fires are carried out by state (municipal) institutions subordinate to federal executive authorities, executive authorities of the constituent entities of the Russian Federation, local self-government bodies, within the powers of the indicated bodies, and other organizations in conformity with Forest Code. When extinguishing forest fires, the coordination of all forces and means of extinguishing forest fires are assigned to the Federal Forestry Agency, which sets up federal headquarters to coordinate firefighting activities related to the extinguishment of forest fires, as well as the corresponding headquarters in the federal districts. Instructions of the federal headquarters, as well as the corresponding headquarters in the federal districts for the coordination of activities to extinguish forest fires, issued within its competence, are binding. In order to establish the regime and methods of extinguishing forest fires, the territories in which forests are located are divided into areas of application of aviation forces and firefighting equipment and ground forces and firefighting equipment. Areas of application of aviation forces and fire extinguishing equipment are installed in forests located in hard-to-reach and remote areas with underdeveloped or non-existent road networks, where arrival of ground forces and firefighting equipment within 3 hours from the moment the forest fire was discovered is impossible. In the area of application of aviation forces and fire extinguishing equipment in forests located on hard-to-reach and remote territories, forest fires control zones can be established. Forest fire control zones on the forest fund land are established by executive authorities of the constituent entities of the Russian Federation, authorized in the field of forest relations, in the area of performance of forest aviation works in forests located on hard-to-reach and (or) remote territories in agreement with the authorized federal executive body. When allocating forest fire control zones, it is not allowed to include in them forest plots allotted for lease or permanent (open-ended) use or planned for use in accordance with the forest plan of the subject of the Russian Federation for the following types of forest use, as well as protected areas. The aforesaid uses of forests include: (a) timber harvesting; (b) performance of research activities, educational activities; (c) performance of recreational activities; (d) creation of forest plantations and their exploitation; (e) geological study of the subsoil, exploration and extraction of fossils; (f) construction, reconstruction, operation of linear facilities; and (g) creation and operation of timber processing infrastructure facilities. Areas of application of ground forces and fire extinguishing equipment are installed in forests located in areas with developed road network, on which the arrival of ground forces and fire extinguishing equipment is possible within 3 hours from the discovery of a forest fire, regardless of weather conditions. Boundaries of the territory where forest firefighting operations are carried out, are installed at a distance of at least 500 meters from active (localized) forest fire edge and (or) created (planned to be created) mineralized belts, reference lines from which backburning is carried out, the lines at which the stop is made (planned) against spread and localization of the fire. In the forest fire control zone for which a decision has been made on the termination, suspension of work on extinguishing forest fires, is established observation by aviation and (or) space means. Data on the main characteristics of such fires (area, shape, daily dynamics of development) are subject to mandatory accounting (registration) with daily reflection of the specified data in official reporting materials and reports provided by a specialized dispatch service of executive authority of the constituent entity of the Russian Federation in specialized dispatch service of the Federal Forestry Agency. A forest fire survey is carried out using ground, aviation (manned and (or) unmanned aircraft) means, unmanned aerial vehicles and (or) space vehicles for the purpose of assessment of: (a) the type and speed of the spread of the fire, control thereof) and the approximate area; (b) main types of combustible materials; (c) tactical parts of the fire (front, flanks and rear); (d) the most dangerous direction of fire spread (creating a risk to valuable forest plantations and (or) plantations in which is possible the transition from ground fire to crown fire, economic facilities and settlements; (e) the presence of natural and artificial obstacles to the spread of fire; (f) possible strengthening or weakening of the fire due to the characteristics of forest areas and terrain on the path of its distribution, as well as due to changes in the meteorological situation; (g) the possibility of approaching, approaching the edge of the fire and using mechanized fire localization and extinguishing means; (h) availability of water supply sources and the possibility of their use; (i) the presence of support strips for backburning and possibility of laying mineralized bands; (j) safe parking places for vehicles, location of people; and (k) escape routes for persons performing fire extinguishing, in case of the danger of increased fire, possible places of shelter.",https://www.ecolex.org/details/legislation/order-no-244-of-the-ministry-of-natural-resources-and-ecology-validating-the-rules-for-extinguishing-forest-fires-lex-faoc211765/?type=legislation&xsubjects=Mineral+resources&page=136,Forestry,Regulation,"Institution, Forest management/forest conservation, Public forest, Forest fires, Hazards, Data collection/reporting, Access-to-information","Arctic, Asia and the Pacific, Black Sea, Caspian Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, Europe and Central Asia, North Pacific, North-West Pacific",This Order enters into force on 1 March 2023.,ECOLEX_Legislation
Order No. 165 of the Ministry of Environmental Protection and Natural Resources validating the Regulation on National Natural Park “Kholodny Yar”.,2022,Ukraine,"The National Natural Park “Kholodny Yar” is located on the territory of Cherkasy district of Cherkasy region. The park is a budgetary, non-profit, nature conservation, recreational, cultural and educational, scientific research institution and is part of the nature reserve fund of Ukraine, protected as a national property, with a special regime of protection, reproduction and management. The park was created for the purpose of preservation, reproduction, effective use of natural complexes and objects in the Middle Dnieper area, which have a special protection, healthcare, historical and cultural, scientific, intellectual, aesthetic value. The main tasks of the park are: (a) conservation of valuable objects of historical and cultural heritage; (b) creation of conditions for organized tourism, rest and other types of recreational activities in natural conditions with observance of the regime of protection of protected natural complexes and objects; (c) conducting scientific studies of natural complexes and their changes under conditions of recreational use, development of scientific recommendations on issues of environmental protection and effective use of natural resources; and (d) carrying out ecological educational work. In accordance with nature protection legislation, the following zones are distinguished on the territory of the park: (a) protected area; (b) zone of regulated recreation; (c) zone of stationary recreation; and (d) economic zone. For each zone, taking into account its nature protection, healthcare, scientific, recreational, historical and cultural and other values of natural complexes and objects and their features, a differentiated regime is established regarding their protection, reproduction and use.",https://www.ecolex.org/details/legislation/order-no-165-of-the-ministry-of-environmental-protection-and-natural-resources-validating-the-regulation-on-national-natural-park-kholodny-yar-lex-faoc213511/?type=legislation&xsubjects=Mineral+resources&page=136,"Environment gen., Wild species & ecosystems",Regulation,"Protected area, Ecosystem preservation, Education, Research, Cultural heritage, Management/conservation, National parks, Tourism","Black Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, Europe and Central Asia",,ECOLEX_Legislation
Export Control (Miscellaneous) Rules 2021.,2021,Australia,"The instrument provides under Part 2 that  a government certificate in relation to a kind of non‑prescribed goods is a decision that may be made by an authorized computer program. It also establishes who can use computer program and conditions. Part 3 authorizes the Secretary to  publish  certain protected information. Part 4, Fit and proper person test clarifies the matters to which Secretary must have regard: (a)  the Primary Industries Levies and Charges Collection Act 1991;  (b)  the Recycling and Waste Reduction Act 2020.",https://www.ecolex.org/details/legislation/export-control-miscellaneous-rules-2021-lex-faoc218909/?type=legislation&xsubjects=Mineral+resources&page=136,General,Regulation,"Access-to-information, Certification, International trade","Asia and the Pacific, Australia and New Zealand, Indian Ocean, Oceania, South Pacific",,ECOLEX_Legislation
Acuerdo Ejecutivo No. STSS 308-2022 - Aprueba el Acuerdo Tripartito en el marco de la Negociación para la Fijación del Salario Mínimo para los años 2022 y 2023.,2022,Honduras,"El presente Decreto Ejecutivo aprueba en toda y en cada una de sus partes el Acuerdo Tripartito en el marco de la Negociación para la Fijación del Salario Mínimo para los años 2022 y 2023, que fue suscrito y aprobado por los representantes del Sector Patronal, Sector Obrero y Sector Público. Se incluye y aprueba una nueva tabla de salario mínimo según rama de actividad económica para el año 2023. Quedan excluidos de este Acuerdo los Trabajadores del Sector Textil Maquilador Hondureño y demás Empresas de Zona Libre.",https://www.ecolex.org/details/legislation/acuerdo-ejecutivo-no-stss-308-2022-aprueba-el-acuerdo-tripartito-en-el-marco-de-la-negociacion-para-la-fijacion-del-salario-minimo-para-los-anos-2022-y-2023-lex-faoc219126/?type=legislation&xsubjects=Mineral+resources&page=136,"Agricultural & rural development, General",Regulation,"Poverty, Social protection","Americas, Central America, Latin America and the Caribbean, North-East Pacific",,ECOLEX_Legislation
"Arrêté de la ministre de l’environnement du 31 mars 2022, portant création des commissions administratives paritaires au ministère de l'environnement.",2022,Tunisia,Le présent arrêté porte sur la création des commissions administratives paritaires compétentes pour les catégories des fonctionnaires et ouvriers du ministère de l'environnement. Ces commissions sont au nombre six et comprennent des catégories de fonction et sont présidées par l'un des représentants de l'administration.,https://www.ecolex.org/details/legislation/arrete-de-la-ministre-de-lenvironnement-du-31-mars-2022-portant-creation-des-commissions-administratives-paritaires-au-ministere-de-lenvironnement-lex-faoc208714/?type=legislation&xsubjects=Mineral+resources&page=136,Environment gen.,Regulation,Institution,"Africa, Mediterranean, Near East and North Africa, Northern Africa",,ECOLEX_Legislation
Arrêté du Gouvernement wallon relatif à l’octroi de primes pour promouvoir l’utilisation rationnelle de l’énergie et la production d’électricité au moyen de sources d’énergie renouvelable.,2022,Belgium,"Sur la base du présent arrêté et dans la limite des crédits disponibles, l’Administration octroie une prime pour l'installation d'équipements de mesurage et de pilotage si les conditions cumulatives suivantes sont respectées: 1° les équipements de mesurage et de pilotage installés répondent aux exigences des législations belges et européennes applicables aux installations de mesure et au matériel électrique; 2° les équipements de mesurage et de pilotage installés mesurent et affichent les flux électriques de l’installation intérieure du client résidentiel au pas de temps égal ou inférieur à cinq minutes; 3° les équipements de mesurage et de pilotage installés disposent d’un système, basé sur une mesure des flux électriques de l'installation permettant d'alerter, ou de proposer des actions au client résidentiel dans un délai égal ou inférieur à cinq minutes. Les procédures pour la demande de la prime sont établies par l'Administration et publiées sur son site internet. L'arrêté s'occupe des détails techniques relatifs à l'octroi de la prime.",https://www.ecolex.org/details/legislation/arrete-du-gouvernement-wallon-relatif-a-loctroi-de-primes-pour-promouvoir-lutilisation-rationnelle-de-lenergie-et-la-production-delectricite-au-moyen-de-sources-denergie-renouvelable-lex-faoc209826/?type=legislation&xsubjects=Mineral+resources&page=136,Energy,Regulation,"Energy conservation/energy production, Procedural matters, Renewable energy, Subsidy/incentive","Benelux, Europe, Europe and Central Asia, European Union Countries, North Atlantic, North Sea, North-East Atlantic, Western Europe",,ECOLEX_Legislation
"Arrêté N° 0295/PM du 31/03/2022 portant création, attributions, organisation et fonctionnement du Comité de Pilotage Conjoint des Objectifs de Développement Durable et du Cadre de Coopération des Nations Unies pour le Développement Durable du Gabon.",2022,Gabon,"Le présent arrêté, pris en application des dispositions de l'article 29 de la Constitution, porte création, attributions, organisation et fonctionnement du Comité de Pilotage Conjoint des Objectifs de Développement Durable et du Cadre de Coopération des Nations Unies pour le Développement Durable du Gabon.  Le Comité de Pilotage Conjoint des Objectifs de Développement Durable et du Cadre de Coopération des Nations Unies pour le Développement Durable du Gabon est une instance de haut niveau de supervision et de suivi de la mise en œuvre des ODDs.",https://www.ecolex.org/details/legislation/arrete-n-0295pm-du-31032022-portant-creation-attributions-organisation-et-fonctionnement-du-comite-de-pilotage-conjoint-des-objectifs-de-developpement-durable-et-du-cadre-de-cooperation-des-nations-unies-pour-le-developpement-durable-du-gabon-lex-faoc209483/?type=legislation&xsubjects=Mineral+resources&page=136,Environment gen.,Regulation,"Institution, Sustainable development, Policy/planning, Governance","Africa, Central Africa, North Atlantic, South Atlantic",,ECOLEX_Legislation
"Law 6/2022, of March 31, for the effective application of the law on equal treatment and opportunities and non-discrimination between women and men.",2022,Andorra,"This Law, which is composed of 8 Titles, sets up its purpose in Title 1 , which is to give effect to the right to equal treatment and non-discrimination on the grounds of sex, pursuant to Article 6 (1) and Article 1 (1) of the Constitution.  To this end, the Law establishes the principles of action and measures aimed at eliminating the structural inequality suffered by women with respect to men in all spheres of life, derived from a system of power relations of men over women, and to ensure equal opportunities and non-discrimination for women and men. The obligations established by this Law are applicable to public administrations and bodies and the entities depending on or related to it. They equally apply to natural or legal persons of a private nature who reside, are or act in the territorial scope of Andorra, whatever their nationality, domicile or residence. The Law applies to all areas of economic, social, cultural and political life.",https://www.ecolex.org/details/legislation/law-62022-of-march-31-for-the-effective-application-of-the-law-on-equal-treatment-and-opportunities-and-non-discrimination-between-women-and-men-lex-faoc209763/?type=legislation&xsubjects=Mineral+resources&page=137,General,Regulation,"Access-to-justice, Capacity building, Education, Equity, Gender, Governance, Human rights, Offences/penalties, Public health, Social protection, Subsidy/incentive","Europe, Europe and Central Asia, Southern Europe",,ECOLEX_Legislation
